Date,Actual,SARIMAX,Prophet,XGBoost,Weighted_Ensemble,Non-EU,EU_Actual
2019-01-01,15035,,,,,31171,15035
2019-02-01,15198,,,,,31958,15198
2019-03-01,16192,,,,,33143,16192
2019-04-01,12931,,,,,28493,12931
2019-05-01,14338,,,,,29582,14338
2019-06-01,13978,,,,,31011,13978
2019-07-01,14088,,,,,33379,14088
2019-08-01,14369,,,,,32330,14369
2019-09-01,14498,,,,,32449,14498
2019-10-01,14730,,,,,33528,14730
2019-11-01,12886,,,,,34080,12886
2019-12-01,14081,,,,,36806,14081
2020-01-01,13840,,,,,31739,13840
2020-02-01,13485,,,,,29451,13485
2020-03-01,11736,,,,,27373,11736
2020-04-01,9978,,,,,25027,9978
2020-05-01,9985,,,,,25974,9985
2020-06-01,11728,,,,,26465,11728
2020-07-01,11818,,,,,26870,11818
2020-08-01,11989,,,,,26892,11989
2020-09-01,12387,,,,,26636,12387
2020-10-01,13036,,,,,28538,13036
2020-11-01,13548,,,,,29002,13548
2020-12-01,14248,,,,,30082,14248
2021-01-01,7799,,,,,22667,7799
2021-02-01,12113,,,,,27195,12113
2021-03-01,13337,,,,,29964,13337
2021-04-01,12797,,,,,29990,12797
2021-05-01,13813,,,,,30735,13813
2021-06-01,13580,,,,,28527,13580
2021-07-01,13296,,,,,28882,13296
2021-08-01,12830,,,,,27754,12830
2021-09-01,13459,,,,,28690,13459
2021-10-01,14126,,,,,32525,14126
2021-11-01,14635,,,,,32334,14635
2021-12-01,15385,,,,,32624,15385
2022-01-01,12238,,,,,28126,12238
2022-02-01,15902,,,,,32637,15902
2022-03-01,17077,,,,,35742,17077
2022-04-01,17289,,,,,35935,17289
2022-05-01,17537,,,,,37731,17537
2022-06-01,17369,,,,,35204,17369
2022-07-01,18715,,,,,38501,18715
2022-08-01,19533,,,,,43999,19533
2022-09-01,18116,,,,,43859,18116
2022-10-01,17263,,,,,42806,17263
2022-11-01,16822,,,,,42814,16822
2022-12-01,18096,,,,,41174,18096
2023-01-01,16437,15105.36,16681.69,17198.29,16722.44,37479,16437
2023-02-01,16320,18958.78,18331.72,17622.75,18031.29,36634,16320
2023-03-01,16117,19518.68,18442.90,17573.44,18123.28,36695,16117
2023-04-01,16406,19356.66,16340.80,17543.22,17499.59,36602,16406
2023-05-01,15525,19324.32,17645.32,17543.22,17854.91,34938,15525
2023-06-01,15618,19070.91,17247.31,14160.63,15795.05,35962,15618
2023-07-01,15870,20074.57,17260.72,14456.03,16125.25,36240,15870
2023-08-01,15784,20803.03,17618.82,14403.92,16310.72,34867,15784
2023-09-01,15123,19352.96,18009.43,14409.30,16190.90,33584,15123
2023-10-01,15227,18838.85,18499.22,15673.73,16958.22,34567,15227
2023-11-01,16034,18346.88,16870.17,15046.53,16075.71,35385,16034
2023-12-01,14966,20196.03,18877.76,17349.48,18224.82,33059,14966
2024-01-01,15044,17065.56,18861.03,14123.02,15900.55,34235,15044
2024-02-01,15018,20810.84,18318.86,14445.68,16528.97,33411,15018
2024-03-01,14835,21494.73,19314.19,13723.98,16505.43,32405,14835
2024-04-01,15124,21524.19,18630.94,13721.40,16319.87,32963,15124
2024-05-01,14274,21443.64,17899.24,13708.74,16097.72,31721,14274
2024-06-01,16171,21019.40,18227.13,13747.54,16142.70,34830,16171
2024-07-01,14183,22038.22,17969.67,17358.00,18271.91,31564,14183
2024-08-01,15942,22821.09,18062.56,14393.81,16748.81,35806,15942
2024-09-01,14295,20971.52,17607.01,17359.25,18002.63,32003,14295
2024-10-01,14757,20365.12,18000.91,15558.14,16998.19,32349,14757
2024-11-01,14855,20214.10,19358.49,15016.21,17043.35,31840,14855
2024-12-01,13942,21886.23,20128.57,15272.11,17666.73,31639,13942
